lwage,yob,draftelig,veteran
5.7909002,50,0,0
5.934,50,0,0
5.5773001,50,0,1
5.4863,50,0,0
5.8431001,50,1,0
5.8695998,50,1,1
5.5235,50,0,0
2.5987999,50,1,0
4.9500999,50,1,1
4.6587,50,1,0
5.6192999,50,0,0
5.5956001,50,0,0
4.7065001,50,0,0
5.1891999,50,0,1
5.3920002,50,0,0
3.3719001,50,0,0
4.7521,50,0,0
6.2617998,50,1,0
6.5899,50,1,0
5.4863,50,1,1
4.7600002,50,1,0
5.2632999,50,0,0
6.1795998,50,0,0
6.4447999,50,0,0
5.8822999,50,0,0
5.5686998,50,1,1
5.6974001,50,0,1
6.7389998,50,0,0
6.0899,50,0,0
5.3179998,50,0,0
5.8962002,50,1,0
4.5946002,50,0,0
4.8263001,50,0,0
4.9840999,50,0,0
6.8406,50,0,0
6.0169001,50,1,1
5.0584998,50,0,0
4.7617002,50,0,0
5.5481,50,0,0
6.3395,50,0,0
5.6630998,50,0,0
5.7181001,50,1,1
5.2073002,50,0,0
6.8818998,50,0,0
5.8822999,50,0,0
4.2887001,50,0,0
5.8649998,50,1,0
6.8818998,50,0,0
4.9507999,50,0,1
5.0265999,50,0,0
6.0591998,50,0,0
4.6781998,50,0,1
5.1293998,50,0,1
5.8246999,50,0,0
5.4772,50,0,1
5.7484002,50,0,1
6.1339998,50,0,0
5.5089002,50,0,0
5.0977998,50,0,0
6.1448002,50,0,0
3.3566,50,0,0
6.0741,50,0,0
5.869,50,1,0
